name,type,top,toperr,bot,boterr,C,M,Y,K,R,G,B,fontstyle,fontcolor
Ordovician,Period,443.8,1.5,485.4,1.9,100,0,60,0,0,146,112,regular,white
Upper,Epoch,443.8,1.5,458.4,0.9,50,0,40,0,127,202,147,regular,black
Hirnantian,Age,443.8,1.5,445.2,1.4,35,0,30,0,166,219,171,regular,black
Katian,Age,445.2,1.4,453,0.7,40,0,35,0,153,214,159,regular,black
Sandbian,Age,453,0.7,458.4,0.9,45,0,40,0,140,208,148,regular,black
Middle,Epoch,458.4,0.9,470,1.4,70,0,50,0,77,180,126,regular,white
Darriwilian,Age,458.4,0.9,467.3,1.1,55,0,35,0,116,198,156,regular,white
Dapingian,Age,467.3,1.1,470,1.4,60,0,40,0,102,192,146,regular,white
Lower,Epoch,470,1.4,485.4,1.9,90,0,60,0,26,157,111,regular,white
Floian,Age,470,1.4,477.7,1.4,75,0,45,0,65,176,135,regular,white
Tremadocian,Age,477.7,1.4,485.4,1.9,80,0,50,0,51,169,126,regular,white
Cambrian,Period,485.4,1.9,541,1,50,20,65,0,127,160,86,regular,white
Furongian,Epoch,485.4,1.9,497,,30,0,40,0,179,224,149,regular,black
Stage 10,Age,485.4,1.9,489.5,,10,0,20,0,230,245,201,italics,black
Jiangshanian,Age,489.5,,494,,30,0,40,0,217,240,187,regular,black
Paibian,Age,494,,497,,20,0,30,0,204,235,174,regular,black
Series 3,Epoch,497,,509,,35,5,45,0,166,207,134,italics,black
Guzhangian,Age,497,,500.5,,20,5,30,0,204,223,170,regular,black
Drumian,Age,500.5,,504.5,,25,5,35,0,191,217,157,regular,black
Stage 5,Age,504.5,,509,,30,5,40,0,179,212,146,italics,black
Series 2,Epoch,509,,521,,40,10,50,0,153,192,120,italics,black
Stage 4,Age,509,,514,,30,10,40,0,179,202,142,italics,black
Stage 3,Age,514,,521,,35,10,45,0,166,197,131,italics,black
Terreneuvian,Epoch,521,,541,1,45,15,55,0,140,176,108,regular,black
Stage 2,Age,521,,529,,35,15,45,0,166,186,128,italics,black
Fortunian,Age,529,,541,1,40,15,50,0,153,181,117,regular,black
Precambrian,supereon,541,1,4600,,0,75,30,0,246,67,112,regular,black
Proterozoic,Eon,541,1,2500,,0,80,35,0,247,53,99,regular,black
Neoproterozoic,Era,541,1,1000,,0,30,70,0,254,179,66,regular,black
Ediacaran,Period,541,1,635,,0,15,55,0,254,217,106,regular,black
Cryogenian,Period,635,,720,,0,20,60,0,254,204,92,regular,black
Tonian,Period,720,,1000,,0,25,65,0,254,191,78,regular,black
Mesoproterozoic,Era,1000,,1600,,0,30,55,0,253,180,98,regular,black
Stenian,Period,1000,,1200,,0,15,35,0,254,217,154,regular,black
Ectasian,Period,1200,,1400,,0,20,40,0,253,204,138,regular,black
Calymmian,Period,1400,,1600,,0,25,45,0,253,192,122,regular,black
Paleoproterozoic,Era,1600,,2500,,0,75,30,0,247,67,112,regular,black
Statherian,Period,1600,,1800,,0,55,10,0,248,117,167,regular,black
Orosirian,Period,1800,,2050,,0,60,15,0,247,104,152,regular,black
Rhyacian,Period,2050,,2300,,0,65,20,0,247,91,137,regular,black
Siderian,Period,2300,,2500,,0,70,25,0,247,79,124,regular,black
Archean,Eon,2500,,4000,,0,100,0,0,240,4,127,regular,black
Neoarchean,Era,2500,,2800,,0,40,5,0,249,155,193,regular,black
,Period,2500,,2800,,0,35,5,0,250,167,200,regular,black
Mesoarchean,Era,2800,,3200,,0,60,5,0,247,104,169,regular,black
,Period,2800,,3200,,0,50,5,0,248,129,181,regular,black
Paleoarchean,Era,3200,,3600,,0,75,0,0,244,68,159,regular,black
,Period,3200,,3600,,0,60,0,0,246,104,178,regular,black
Eoarchean,Era,3600,,4000,,10,100,0,0,218,3,127,regular,black
,Period,3600,,4000,,5,90,0,0,230,29,140,regular,black
Hadean,Eon,4000,,4600,,30,100,0,0,174,2,126,italics,white
